wavelength[μm],reflectance
1.00135,NaN
1.00790,NaN
1.01445,0.24651
1.02100,0.24686
1.02755,0.24014
1.03410,0.24239
1.04065,0.24157
1.04720,0.23986
1.05375,0.24079
1.06030,0.24177
1.06685,0.24217
1.07341,0.24199
1.07996,0.24076
1.08651,0.24225
1.09307,0.24355
1.09962,0.24499
1.10617,0.24575
1.11273,0.24512
1.11928,0.24423
1.12584,0.24467
1.13239,0.24466
1.13895,0.24532
1.14551,0.2459
1.15206,0.24694
1.15862,0.2471
1.16518,0.24791
1.17173,0.24811
1.17829,0.24773
1.18485,0.24756
1.19141,0.24832
1.19797,0.24441
1.20453,0.2426
1.21109,0.2443
1.21765,0.24341
1.22421,0.24406
1.23077,0.24551
1.23733,0.247
1.24389,0.24919
1.25045,0.24969
1.25701,0.25037
1.26357,0.25078
1.27014,0.25351
1.27670,0.25296
1.28326,0.25265
1.28983,0.25202
1.29639,0.25275
1.30295,0.25373
1.30952,0.252
1.31608,0.25011
1.32265,0.25397
1.32921,0.25394
1.33578,0.25365
1.34234,0.25351
1.34891,0.25302
1.35548,0.25256
1.36205,0.25247
1.36861,0.25126
1.37518,0.25211
1.38175,0.25164
1.38832,0.25275
1.39489,0.25439
1.40145,0.25445
1.40802,0.2535
1.41459,0.2558
1.42116,0.25678
1.42773,0.24595
1.43431,0.23722
1.44088,0.23883
1.44745,0.24905
1.45402,0.25669
1.46059,0.26018
1.46716,0.25886
1.47374,0.25922
1.48031,0.259
1.48688,0.25922
1.49346,0.25986
1.50003,0.25948
1.50661,0.26273
1.51318,0.26318
1.51976,0.26208
1.52633,0.25954
1.53291,0.25835
1.53948,0.26145
1.54606,0.26448
1.55264,0.26511
1.55921,0.26247
1.56579,0.25372
1.57237,0.24923
1.57895,0.25551
1.58552,0.26154
1.59210,0.25949
1.59868,0.25308
1.60526,0.25091
1.61184,0.25515
1.61842,0.25971
1.62500,0.26254
1.63158,0.26301
1.63816,0.26483
1.64474,0.26543
1.65133,0.26493
1.65791,0.26909
1.66449,0.27052
1.67107,0.26879
1.67766,0.26914
1.68424,0.26934
1.69082,0.2708
1.69741,0.27121
1.70399,0.27218
1.71058,0.27196
1.71716,0.27321
1.72375,0.27361
1.73033,0.27375
1.73692,0.27384
1.74351,0.27454
1.75009,0.27438
1.75668,0.27453
1.76327,0.27447
1.76985,0.2749
1.77644,0.27531
1.78303,0.27543
1.78962,0.27562
1.79621,0.27535
1.80280,0.27473
1.80939,0.27412
1.81598,0.27418
1.82257,0.27412
1.82916,0.27409
1.83575,0.27407
1.84234,0.27351
1.84893,0.27313
1.85552,0.27328
1.86212,0.27213
1.86871,0.26826
1.87530,0.26583
1.88190,0.26791
1.88849,0.27012
1.89508,0.2728
1.90168,0.27419
1.90827,0.27499
1.91487,0.27503
1.92146,0.27482
1.92806,0.27291
1.93465,0.26567
1.94125,0.24612
1.94785,0.21971
1.95444,0.20772
1.96104,0.21304
1.96764,0.23117
1.97424,0.25196
1.98084,0.25944
1.98743,0.24971
1.99403,0.21017
2.00063,0.16686
2.00723,0.15702
2.01383,0.17834
2.02043,0.21202
2.02703,0.23359
2.03363,0.23991
2.04024,0.23719
2.04684,0.22553
2.05344,0.21807
2.06004,0.22107
2.06664,0.22692
2.07325,0.23642
2.07985,0.24519
2.08645,0.25193
2.09306,0.25923
2.09966,0.26471
2.10627,0.26869
2.11287,0.27375
2.11948,0.27896
2.12608,0.28118
2.13269,0.2822
2.13930,0.27986
2.14590,0.27711
2.15251,0.27747
2.15912,0.2783
2.16572,0.28105
2.17233,0.28303
2.17894,0.2836
2.18555,0.28402
2.19216,0.28533
2.19877,0.28563
2.20538,0.28573
2.21199,0.28633
2.21860,0.28757
2.22521,0.28785
2.23182,0.28806
2.23843,0.28814
