wavelength[μm],reflectance
1.00135,NaN
1.00790,NaN
1.01445,0.20799
1.02100,0.20435
1.02755,0.1989
1.03410,0.20033
1.04065,0.19921
1.04720,0.19726
1.05375,0.19753
1.06030,0.19834
1.06685,0.19768
1.07341,0.19763
1.07996,0.19672
1.08651,0.19769
1.09307,0.19877
1.09962,0.19987
1.10617,0.20005
1.11273,0.20199
1.11928,0.199
1.12584,0.19958
1.13239,0.19995
1.13895,0.1999
1.14551,0.20041
1.15206,0.20161
1.15862,0.20159
1.16518,0.20213
1.17173,0.20203
1.17829,0.20189
1.18485,0.20163
1.19141,0.20161
1.19797,0.19945
1.20453,0.19692
1.21109,0.19902
1.21765,0.19742
1.22421,0.19839
1.23077,0.19973
1.23733,0.20185
1.24389,0.20185
1.25045,0.20281
1.25701,0.20291
1.26357,0.20343
1.27014,0.20544
1.27670,0.20489
1.28326,0.20477
1.28983,0.20451
1.29639,0.20527
1.30295,0.20561
1.30952,0.20412
1.31608,0.20309
1.32265,0.20587
1.32921,0.20629
1.33578,0.20552
1.34234,0.20496
1.34891,0.20475
1.35548,0.20462
1.36205,0.20409
1.36861,0.20305
1.37518,0.20321
1.38175,0.20333
1.38832,0.20409
1.39489,0.20493
1.40145,0.20518
1.40802,0.2057
1.41459,0.20677
1.42116,0.20678
1.42773,0.19926
1.43431,0.19143
1.44088,0.19273
1.44745,0.20124
1.45402,0.20729
1.46059,0.20948
1.46716,0.20868
1.47374,0.20835
1.48031,0.20819
1.48688,0.20824
1.49346,0.20902
1.50003,0.20865
1.50661,0.21133
1.51318,0.21196
1.51976,0.21043
1.52633,0.20807
1.53291,0.20726
1.53948,0.20968
1.54606,0.21251
1.55264,0.21311
1.55921,0.21099
1.56579,0.20397
1.57237,0.19911
1.57895,0.20496
1.58552,0.20929
1.59210,0.20816
1.59868,0.20303
1.60526,0.20085
1.61184,0.20329
1.61842,0.20753
1.62500,0.20945
1.63158,0.21009
1.63816,0.20996
1.64474,0.21126
1.65133,0.21319
1.65791,0.21285
1.66449,0.21314
1.67107,0.21192
1.67766,0.21353
1.68424,0.21315
1.69082,0.21331
1.69741,0.21395
1.70399,0.21543
1.71058,0.21545
1.71716,0.21634
1.72375,0.21645
1.73033,0.21658
1.73692,0.21708
1.74351,0.21722
1.75009,0.2172
1.75668,0.21712
1.76327,0.21723
1.76985,0.21737
1.77644,0.21702
1.78303,0.21805
1.78962,0.21793
1.79621,0.21733
1.80280,0.21701
1.80939,0.21665
1.81598,0.21607
1.82257,0.21645
1.82916,0.21675
1.83575,0.21601
1.84234,0.21591
1.84893,0.21655
1.85552,0.21632
1.86212,0.21601
1.86871,0.21205
1.87530,0.21023
1.88190,0.21137
1.88849,0.21358
1.89508,0.21526
1.90168,0.21616
1.90827,0.21667
1.91487,0.21664
1.92146,0.21714
1.92806,0.21609
1.93465,0.21057
1.94125,0.19569
1.94785,0.176
1.95444,0.16266
1.96104,0.16741
1.96764,0.18174
1.97424,0.19809
1.98084,0.20519
1.98743,0.19927
1.99403,0.16878
2.00063,0.13264
2.00723,0.12331
2.01383,0.13914
2.02043,0.166
2.02703,0.18435
2.03363,0.19018
2.04024,0.18764
2.04684,0.17874
2.05344,0.17222
2.06004,0.1742
2.06664,0.17881
2.07325,0.18635
2.07985,0.19287
2.08645,0.19842
2.09306,0.20365
2.09966,0.2081
2.10627,0.21135
2.11287,0.21456
2.11948,0.21823
2.12608,0.22107
2.13269,0.22117
2.13930,0.21874
2.14590,0.21809
2.15251,0.21754
2.15912,0.21833
2.16572,0.22019
2.17233,0.22215
2.17894,0.22262
2.18555,0.22325
2.19216,0.22508
2.19877,0.22328
2.20538,0.22309
2.21199,0.22421
2.21860,0.22452
2.22521,0.22407
2.23182,0.22501
2.23843,0.22475
