wavelength[μm],reflectance
1.00135,NaN
1.00790,NaN
1.01445,0.04965
1.02100,0.04932
1.02755,0.04749
1.03410,0.04754
1.04065,0.04708
1.04720,0.04673
1.05375,0.04695
1.06030,0.04619
1.06685,0.0465
1.07341,0.04618
1.07996,0.04585
1.08651,0.04616
1.09307,0.04612
1.09962,0.04631
1.10617,0.0464
1.11273,0.04626
1.11928,0.04608
1.12584,0.04641
1.13239,0.04622
1.13895,0.04631
1.14551,0.0462
1.15206,0.04607
1.15862,0.04622
1.16518,0.04608
1.17173,0.0462
1.17829,0.04621
1.18485,0.04625
1.19141,0.04612
1.19797,0.04545
1.20453,0.04477
1.21109,0.04495
1.21765,0.04499
1.22421,0.04508
1.23077,0.04528
1.23733,0.04552
1.24389,0.04584
1.25045,0.04592
1.25701,0.04582
1.26357,0.0457
1.27014,0.04565
1.27670,0.04575
1.28326,0.04487
1.28983,0.04552
1.29639,0.0449
1.30295,0.04573
1.30952,0.04514
1.31608,0.04495
1.32265,0.04561
1.32921,0.04543
1.33578,0.04502
1.34234,0.04558
1.34891,0.04514
1.35548,0.04552
1.36205,0.04512
1.36861,0.04504
1.37518,0.04494
1.38175,0.04498
1.38832,0.04483
1.39489,0.04479
1.40145,0.04508
1.40802,0.04532
1.41459,0.04534
1.42116,0.04555
1.42773,0.04411
1.43431,0.04169
1.44088,0.04184
1.44745,0.04347
1.45402,0.04465
1.46059,0.04534
1.46716,0.04524
1.47374,0.04468
1.48031,0.04479
1.48688,0.04426
1.49346,0.04486
1.50003,0.04444
1.50661,0.04475
1.51318,0.04523
1.51976,0.04488
1.52633,0.04402
1.53291,0.04375
1.53948,0.04427
1.54606,0.04492
1.55264,0.04506
1.55921,0.04479
1.56579,0.04338
1.57237,0.04194
1.57895,0.04261
1.58552,0.04387
1.59210,0.04357
1.59868,0.04257
1.60526,0.04199
1.61184,0.04227
1.61842,0.0437
1.62500,0.04364
1.63158,0.04397
1.63816,0.04392
1.64474,0.04393
1.65133,0.04485
1.65791,0.04129
1.66449,0.04245
1.67107,0.04323
1.67766,0.04305
1.68424,0.04309
1.69082,0.04316
1.69741,0.04354
1.70399,0.04381
1.71058,0.04384
1.71716,0.04358
1.72375,0.04375
1.73033,0.04347
1.73692,0.04308
1.74351,0.04307
1.75009,0.04307
1.75668,0.04316
1.76327,0.04306
1.76985,0.04272
1.77644,0.04287
1.78303,0.04256
1.78962,0.04252
1.79621,0.04249
1.80280,0.04251
1.80939,0.04218
1.81598,0.04214
1.82257,0.04145
1.82916,0.04188
1.83575,0.04182
1.84234,0.04162
1.84893,0.04133
1.85552,0.04155
1.86212,0.04218
1.86871,0.04081
1.87530,0.03993
1.88190,0.03949
1.88849,0.04011
1.89508,0.04053
1.90168,0.04063
1.90827,0.04058
1.91487,0.04063
1.92146,0.04064
1.92806,0.04086
1.93465,0.03969
1.94125,0.03736
1.94785,0.0325
1.95444,0.02911
1.96104,0.02906
1.96764,0.03158
1.97424,0.03503
1.98084,0.03674
1.98743,0.03609
1.99403,0.03161
2.00063,0.02346
2.00723,0.02033
2.01383,0.02259
2.02043,0.02761
2.02703,0.03176
2.03363,0.03337
2.04024,0.0329
2.04684,0.03145
2.05344,0.02937
2.06004,0.02971
2.06664,0.03073
2.07325,0.03203
2.07985,0.03344
2.08645,0.03453
2.09306,0.03567
2.09966,0.03661
2.10627,0.03705
2.11287,0.03722
2.11948,0.03793
2.12608,0.03844
2.13269,0.03872
2.13930,0.03866
2.14590,0.03796
2.15251,0.03806
2.15912,0.03816
2.16572,0.03836
2.17233,0.03829
2.17894,0.03871
2.18555,0.03863
2.19216,0.03885
2.19877,0.03893
2.20538,0.03886
2.21199,0.03882
2.21860,0.03871
2.22521,0.03885
2.23182,0.03885
2.23843,0.03788
