wavelength[μm],reflectance1,reflectance2,reflectance3,reflectance4,reflectance5,reflectance6,reflectance7,reflectance8,reflectance9
1.00135,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.00790,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.01445,0.25148,0.25495,0.25817,0.25155,0.25459,0.25705,0.25162,0.25383,0.25576
1.02100,0.25291,0.25576,0.25871,0.25378,0.25552,0.25730,0.25413,0.25469,0.25595
1.02755,0.24745,0.24987,0.25339,0.24827,0.25019,0.25201,0.24856,0.24955,0.25066
1.03410,0.24993,0.25202,0.25555,0.25057,0.25218,0.25423,0.25083,0.25167,0.25297
1.04065,0.24951,0.25168,0.25494,0.25021,0.25143,0.25397,0.25088,0.25129,0.25310
1.04720,0.24791,0.25040,0.25393,0.24864,0.25057,0.25349,0.24874,0.24948,0.25182
1.05375,0.24848,0.25064,0.25401,0.24938,0.25062,0.25309,0.24978,0.25008,0.25148
1.06030,0.25016,0.25252,0.25557,0.25122,0.25252,0.25514,0.25167,0.25164,0.25326
1.06685,0.25006,0.25231,0.25567,0.25122,0.25236,0.25523,0.25158,0.25165,0.25360
1.07341,0.25080,0.25283,0.25577,0.25159,0.25287,0.25542,0.25199,0.25220,0.25351
1.07996,0.24885,0.25135,0.25442,0.25011,0.25155,0.25417,0.25078,0.25107,0.25233
1.08651,0.25043,0.25300,0.25568,0.25151,0.25269,0.25529,0.25201,0.25192,0.25334
1.09307,0.25142,0.25407,0.25661,0.25262,0.25435,0.25683,0.25317,0.25360,0.25475
1.09962,0.25374,0.25643,0.25894,0.25490,0.25598,0.25865,0.25532,0.25552,0.25676
1.10617,0.25388,0.25668,0.25925,0.25508,0.25661,0.25912,0.25494,0.25575,0.25724
1.11273,0.25423,0.25687,0.25927,0.25524,0.25640,0.25910,0.25534,0.25588,0.25721
1.11928,0.25259,0.25564,0.25795,0.25386,0.25524,0.25778,0.25418,0.25472,0.25578
1.12584,0.25378,0.25679,0.25906,0.25473,0.25615,0.25870,0.25494,0.25554,0.25688
1.13239,0.25354,0.25644,0.25866,0.25434,0.25583,0.25829,0.25458,0.25516,0.25676
1.13895,0.25403,0.25707,0.25925,0.25497,0.25648,0.25903,0.25522,0.25600,0.25750
1.14551,0.25455,0.25767,0.25988,0.25581,0.25727,0.25949,0.25623,0.25691,0.25803
1.15206,0.25584,0.25858,0.26106,0.25705,0.25834,0.26080,0.25712,0.25793,0.25933
1.15862,0.25571,0.25893,0.26142,0.25693,0.25889,0.26121,0.25725,0.25823,0.25955
1.16518,0.25634,0.25963,0.26223,0.25770,0.25967,0.26207,0.25843,0.25905,0.26049
1.17173,0.25640,0.25933,0.26193,0.25720,0.25915,0.26162,0.25797,0.25874,0.26023
1.17829,0.25608,0.25929,0.26181,0.25678,0.25908,0.26154,0.25723,0.25864,0.26054
1.18485,0.25564,0.25886,0.26201,0.25677,0.25910,0.26178,0.25757,0.25871,0.26070
1.19141,0.25582,0.25857,0.26125,0.25650,0.25823,0.26054,0.25700,0.25786,0.25951
1.19797,0.25296,0.25572,0.25855,0.25367,0.25566,0.25770,0.25408,0.25491,0.25631
1.20453,0.25018,0.25297,0.25587,0.25098,0.25306,0.25518,0.25134,0.25238,0.25378
1.21109,0.25290,0.25573,0.25840,0.25379,0.25572,0.25774,0.25413,0.25525,0.25669
1.21765,0.25101,0.25386,0.25681,0.25149,0.25358,0.25603,0.25170,0.25305,0.25476
1.22421,0.25260,0.25487,0.25757,0.25290,0.25447,0.25668,0.25300,0.25424,0.25554
1.23077,0.25438,0.25719,0.25974,0.25491,0.25721,0.25952,0.25476,0.25634,0.25786
1.23733,0.25635,0.25881,0.26192,0.25721,0.25933,0.26142,0.25734,0.25876,0.26010
1.24389,0.25741,0.25998,0.26262,0.25798,0.26041,0.26251,0.25813,0.25973,0.26102
1.25045,0.25807,0.26056,0.26361,0.25851,0.26101,0.26329,0.25880,0.26050,0.26198
1.25701,0.25855,0.26088,0.26361,0.25928,0.26141,0.26340,0.25930,0.26101,0.26240
1.26357,0.25928,0.26188,0.26489,0.25929,0.26203,0.26445,0.25985,0.26114,0.26253
1.27014,0.26162,0.26418,0.26709,0.26227,0.26462,0.26661,0.26236,0.26411,0.26533
1.27670,0.26116,0.26383,0.26692,0.26198,0.26441,0.26619,0.26242,0.26387,0.26463
1.28326,0.26091,0.26362,0.26657,0.26156,0.26402,0.26628,0.26174,0.26319,0.26471
1.28983,0.26082,0.26385,0.26690,0.26162,0.26411,0.26608,0.26170,0.26338,0.26477
1.29639,0.26164,0.26464,0.26732,0.26238,0.26474,0.26675,0.26248,0.26394,0.26517
1.30295,0.26306,0.26549,0.26811,0.26371,0.26556,0.26734,0.26343,0.26517,0.26618
1.30952,0.26075,0.26353,0.26664,0.26188,0.26422,0.26602,0.26226,0.26375,0.26490
