wavelength[μm],reflectance1,reflectance2,reflectance3,reflectance4,reflectance5,reflectance6,reflectance7,reflectance8,reflectance9
1.00135,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.00790,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.01445,0.23329,0.23298,0.23282,0.23340,0.23416,0.23370,0.23307,0.23393,0.23386
1.02100,0.23241,0.23274,0.23319,0.23263,0.23279,0.23321,0.23249,0.23346,0.23455
1.02755,0.22654,0.22640,0.22727,0.22688,0.22704,0.22739,0.22676,0.22723,0.22820
1.03410,0.22849,0.22862,0.22950,0.22893,0.22925,0.22944,0.22823,0.22897,0.23031
1.04065,0.22773,0.22784,0.22844,0.22816,0.22803,0.22816,0.22771,0.22789,0.22908
1.04720,0.22557,0.22616,0.22681,0.22598,0.22620,0.22644,0.22582,0.22635,0.22766
1.05375,0.22618,0.22611,0.22718,0.22656,0.22665,0.22717,0.22652,0.22683,0.22781
1.06030,0.22749,0.22783,0.22855,0.22786,0.22808,0.22840,0.22739,0.22800,0.22943
1.06685,0.22687,0.22722,0.22837,0.22736,0.22774,0.22798,0.22766,0.22802,0.22887
1.07341,0.22720,0.22749,0.22823,0.22752,0.22772,0.22783,0.22741,0.22786,0.22913
1.07996,0.22560,0.22600,0.22709,0.22626,0.22649,0.22670,0.22629,0.22659,0.22782
1.08651,0.22669,0.22705,0.22810,0.22685,0.22731,0.22774,0.22744,0.22755,0.22877
1.09307,0.22794,0.22852,0.22967,0.22853,0.22889,0.22906,0.22857,0.22876,0.22989
1.09962,0.22981,0.23013,0.23112,0.23009,0.23038,0.23064,0.23034,0.23052,0.23174
1.10617,0.23011,0.23060,0.23186,0.23101,0.23146,0.23158,0.23110,0.23136,0.23231
1.11273,0.22847,0.22856,0.22993,0.22908,0.22901,0.22928,0.22934,0.22946,0.23032
1.11928,0.22854,0.22879,0.23018,0.22911,0.22945,0.22982,0.22931,0.22987,0.23063
1.12584,0.22960,0.22930,0.23036,0.23016,0.23006,0.23035,0.23011,0.23024,0.23096
1.13239,0.22912,0.22938,0.23086,0.22981,0.22980,0.23046,0.22940,0.23007,0.23112
1.13895,0.22969,0.22965,0.23072,0.23016,0.23017,0.23053,0.23054,0.23069,0.23158
1.14551,0.23034,0.23048,0.23176,0.23076,0.23069,0.23124,0.23093,0.23128,0.23198
1.15206,0.23092,0.23085,0.23227,0.23173,0.23141,0.23227,0.23164,0.23206,0.23321
1.15862,0.23143,0.23167,0.23270,0.23222,0.23231,0.23274,0.23215,0.23238,0.23320
1.16518,0.23232,0.23242,0.23312,0.23264,0.23262,0.23297,0.23273,0.23283,0.23362
1.17173,0.23223,0.23269,0.23360,0.23300,0.23319,0.23374,0.23270,0.23337,0.23408
1.17829,0.23111,0.23140,0.23243,0.23186,0.23181,0.23247,0.23175,0.23167,0.23289
1.18485,0.23147,0.23147,0.23234,0.23188,0.23180,0.23254,0.23219,0.23188,0.23308
1.19141,0.23192,0.23259,0.23336,0.23240,0.23312,0.23356,0.23271,0.23318,0.23414
1.19797,0.22865,0.23058,0.23230,0.22978,0.23153,0.23296,0.23053,0.23166,0.23329
1.20453,0.22611,0.22645,0.22778,0.22670,0.22713,0.22781,0.22702,0.22728,0.22836
1.21109,0.22911,0.22931,0.22992,0.22961,0.22968,0.23000,0.22958,0.22947,0.23035
1.21765,0.22733,0.22762,0.22884,0.22764,0.22824,0.22880,0.22823,0.22829,0.22904
1.22421,0.22859,0.22822,0.22927,0.22894,0.22890,0.22953,0.22963,0.22936,0.23000
1.23077,0.22975,0.22995,0.23108,0.23013,0.23067,0.23105,0.23034,0.23032,0.23123
1.23733,0.23215,0.23261,0.23336,0.23253,0.23277,0.23327,0.23267,0.23274,0.23371
1.24389,0.23273,0.23289,0.23354,0.23319,0.23334,0.23360,0.23366,0.23359,0.23385
1.25045,0.23351,0.23384,0.23487,0.23404,0.23432,0.23483,0.23407,0.23451,0.23497
1.25701,0.23349,0.23331,0.23438,0.23403,0.23403,0.23463,0.23409,0.23427,0.23487
1.26357,0.23376,0.23384,0.23443,0.23428,0.23431,0.23454,0.23426,0.23418,0.23478
1.27014,0.23658,0.23618,0.23701,0.23716,0.23657,0.23713,0.23751,0.23697,0.23771
1.27670,0.23585,0.23568,0.23672,0.23620,0.23626,0.23687,0.23650,0.23634,0.23717
1.28326,0.23499,0.23519,0.23653,0.23593,0.23607,0.23653,0.23571,0.23587,0.23696
1.28983,0.23496,0.23508,0.23669,0.23563,0.23588,0.23655,0.23575,0.23591,0.23689
1.29639,0.23579,0.23590,0.23705,0.23639,0.23651,0.23692,0.23617,0.23677,0.23781
1.30295,0.23690,0.23684,0.23767,0.23705,0.23723,0.23759,0.23736,0.23753,0.23869
1.30952,0.23499,0.23497,0.23630,0.23574,0.23604,0.23624,0.23551,0.23571,0.23697
