wavelength[μm],reflectance
1.00135,NaN
1.00790,NaN
1.01445,0.21687
1.02100,0.21615
1.02755,0.21065
1.03410,0.21297
1.04065,0.21151
1.04720,0.20967
1.05375,0.21032
1.06030,0.21106
1.06685,0.21072
1.07341,0.21118
1.07996,0.20993
1.08651,0.21069
1.09307,0.21169
1.09962,0.21318
1.10617,0.21329
1.11273,0.2131
1.11928,0.21228
1.12584,0.21305
1.13239,0.21259
1.13895,0.21388
1.14551,0.21333
1.15206,0.21445
1.15862,0.21491
1.16518,0.21533
1.17173,0.21467
1.17829,0.2149
1.18485,0.21432
1.19141,0.21257
1.19797,0.21039
1.20453,0.20914
1.21109,0.21064
1.21765,0.2089
1.22421,0.21045
1.23077,0.21197
1.23733,0.21461
1.24389,0.21468
1.25045,0.21468
1.25701,0.21566
1.26357,0.21613
1.27014,0.21777
1.27670,0.21834
1.28326,0.21762
1.28983,0.21778
1.29639,0.21829
1.30295,0.21882
1.30952,0.21738
1.31608,0.21642
1.32265,0.21948
1.32921,0.21974
1.33578,0.21886
1.34234,0.21856
1.34891,0.21827
1.35548,0.21815
1.36205,0.21763
1.36861,0.21637
1.37518,0.21668
1.38175,0.21703
1.38832,0.21785
1.39489,0.21828
1.40145,0.21834
1.40802,0.21869
1.41459,0.22043
1.42116,0.2186
1.42773,0.2084
1.43431,0.20254
1.44088,0.20718
1.44745,0.21557
1.45402,0.22154
1.46059,0.22278
1.46716,0.22137
1.47374,0.22249
1.48031,0.22253
1.48688,0.22266
1.49346,0.22187
1.50003,0.22289
1.50661,0.22698
1.51318,0.22624
1.51976,0.22329
1.52633,0.22142
1.53291,0.2212
1.53948,0.22472
1.54606,0.22658
1.55264,0.22589
1.55921,0.22224
1.56579,0.21422
1.57237,0.21263
1.57895,0.21993
1.58552,0.22343
1.59210,0.22088
1.59868,0.21468
1.60526,0.21473
1.61184,0.21905
1.61842,0.22357
1.62500,0.22352
1.63158,0.22398
1.63816,0.2282
1.64474,0.22924
1.65133,0.22645
1.65791,0.22612
1.66449,0.22962
1.67107,0.22918
1.67766,0.22908
1.68424,0.22903
1.69082,0.23001
1.69741,0.23011
1.70399,0.2307
1.71058,0.2313
1.71716,0.23196
1.72375,0.23225
1.73033,0.23228
1.73692,0.23207
1.74351,0.23277
1.75009,0.23278
1.75668,0.23313
1.76327,0.23323
1.76985,0.23258
1.77644,0.23305
1.78303,0.23344
1.78962,0.23328
1.79621,0.23319
1.80280,0.2324
1.80939,0.23224
1.81598,0.23198
1.82257,0.23173
1.82916,0.23167
1.83575,0.23154
1.84234,0.23143
1.84893,0.23072
1.85552,0.22925
1.86212,0.22668
1.86871,0.22414
1.87530,0.22504
1.88190,0.22692
1.88849,0.2286
1.89508,0.22974
1.90168,0.23099
1.90827,0.23151
1.91487,0.23174
1.92146,0.23059
1.92806,0.22684
1.93465,0.21554
1.94125,0.19732
1.94785,0.1793
1.95444,0.17117
1.96104,0.18054
1.96764,0.19625
1.97424,0.20927
1.98084,0.21172
1.98743,0.19266
1.99403,0.1565
2.00063,0.12961
2.00723,0.13128
2.01383,0.15379
2.02043,0.17883
2.02703,0.19341
2.03363,0.19642
2.04024,0.19078
2.04684,0.18209
2.05344,0.17967
2.06004,0.18421
2.06664,0.19099
2.07325,0.19971
2.07985,0.20639
2.08645,0.21328
2.09306,0.21884
2.09966,0.22324
2.10627,0.22662
2.11287,0.23103
2.11948,0.23491
2.12608,0.23627
2.13269,0.23567
2.13930,0.23354
2.14590,0.23238
2.15251,0.23137
2.15912,0.23348
2.16572,0.23651
2.17233,0.23898
2.17894,0.23859
2.18555,0.23885
2.19216,0.23905
2.19877,0.23962
2.20538,0.2397
2.21199,0.24028
2.21860,0.2405
2.22521,0.24085
2.23182,0.24119
2.23843,0.2415
